"id","name","description","invoice_label","type_tax_use","tax_scope","amount_type","amount","sequence","is_vat","is_exempt","tax_group_id","perception_id","retention_id","repartition_line_ids/document_type","repartition_line_ids/repartition_type","repartition_line_ids/account_id","repartition_line_ids/factor_percent"
"","","","","","","","","","","","","","","invoice","tax","percepciones_a_depositar_imp_ingresos_brutos_tucuman","100.0"
"","","","","","","","","","","","","","","refund","tax","percepciones_a_depositar_imp_ingresos_brutos_tucuman","100.0"
"tax_percepcion_iibb_misiones_efectuada","Percepción IIBB Misiones Efectuada","Percepción IIBB Misiones Efectuada","Percepción IIBB Misiones Efectuada","sale","","perception","0.0","1","False","False","tax_group_perception_iibb_misiones","l10n_ar.perception_perception_iibb_misiones_efectuada","","invoice","base","","0.0"
"","","","","","","","","","","","","","","refund","base","","0.0"
"","","","","","","","","","","","","","","invoice","tax","percepciones_a_depositar_imp_ingresos_brutos_misiones","100.0"
"","","","","","","","","","","","","","","refund","tax","percepciones_a_depositar_imp_ingresos_brutos_misiones","100.0"
"tax_percepcion_iibb_chaco_sufrida","Percepciones IIBB Chaco Sufrida","Percepciones IIBB Chaco Sufrida","Percepciones IIBB Chaco Sufrida","purchase","","perception","0.0","1","False","False","tax_group_perception_iibb_chaco","l10n_ar.perception_perception_iibb_chaco_sufrida","","invoice","base","","0.0"
"","","","","","","","","","","","","","","refund","base","","0.0"
"","","","","","","","","","","","","","","invoice","tax","imp_ingresos_brutos_percepciones_sufridas_chaco","100.0"
"","","","","","","","","","","","","","","refund","tax","imp_ingresos_brutos_percepciones_sufridas_chaco","100.0"
"tax_percepcion_iibb_mendoza_sufrida","Percepciones IIBB Mendoza Sufrida","Percepciones IIBB Mendoza Sufrida","Percepciones IIBB Mendoza Sufrida","purchase","","perception","0.0","1","False","False","tax_group_perception_iibb_mendoza","l10n_ar.perception_perception_iibb_mendoza_sufrida","","invoice","base","","0.0"
"","","","","","","","","","","","","","","refund","base","","0.0"
"","","","","","","","","","","","","","","invoice","tax","imp_ingresos_brutos_percepciones_sufridas_mendoza","100.0"
"","","","","","","","","","","","","","","refund","tax","imp_ingresos_brutos_percepciones_sufridas_mendoza","100.0"
"tax_percepcion_iibb_misiones_sufrida","Percepciones IIBB Misiones Sufrida","Percepciones IIBB Misiones Sufrida","Percepciones IIBB Misiones Sufrida","purchase","","perception","0.0","1","False","False","tax_group_perception_iibb_misiones","l10n_ar.perception_perception_iibb_misiones_sufrida","","invoice","base","","0.0"
"","","","","","","","","","","","","","","refund","base","","0.0"
"","","","","","","","","","","","","","","invoice","tax","imp_ingresos_brutos_percepciones_sufridas_misiones","100.0"
"","","","","","","","","","","","","","","refund","tax","imp_ingresos_brutos_percepciones_sufridas_misiones","100.0"
"tax_percepcion_iibb_neuquen_sufrida","Percepciones IIBB Neuquén Sufrida","Percepciones IIBB Neuquén Sufrida","Percepciones IIBB Neuquén Sufrida","purchase","","perception","0.0","1","False","False","tax_group_perception_iibb_neuquen","l10n_ar.perception_perception_iibb_neuquen_sufrida","","invoice","base","","0.0"
"","","","","","","","","","","","","","","refund","base","","0.0"
"","","","","","","","","","","","","","","invoice","tax","imp_ingresos_brutos_percepciones_sufridas_neuquen","100.0"
"","","","","","","","","","","","","","","refund","tax","imp_ingresos_brutos_percepciones_sufridas_neuquen","100.0"
"tax_percepcion_iibb_chubut_sufrida","Percepciones IIBB Chubut Sufrida","Percepciones IIBB Chubut Sufrida","Percepciones IIBB Chubut Sufrida","purchase","","perception","0.0","1","False","False","tax_group_perception_iibb_chubut","l10n_ar.perception_perception_iibb_chubut_sufrida","","invoice","base","","0.0"
"","","","","","","","","","","","","","","refund","base","","0.0"
"","","","","","","","","","","","","","","invoice","tax","imp_ingresos_brutos_percepciones_sufridas_chubut","100.0"
"","","","","","","","","","","","","","","refund","tax","imp_ingresos_brutos_percepciones_sufridas_chubut","100.0"
"tax_percepcion_iibb_la_pampa_sufrida","Percepciones IIBB La Pampa Sufrida","Percepciones IIBB La Pampa Sufrida","Percepciones IIBB La Pampa Sufrida","purchase","","perception","0.0","1","False","False","tax_group_perception_iibb_la_pampa","l10n_ar.perception_perception_iibb_la_pampa_sufrida","","invoice","base","","0.0"
"","","","","","","","","","","","","","","refund","base","","0.0"
"","","","","","","","","","","","","","","invoice","tax","imp_ingresos_brutos_percepciones_sufridas_la_pampa","100.0"
"","","","","","","","","","","","","","","refund","tax","imp_ingresos_brutos_percepciones_sufridas_la_pampa","100.0"
"tax_percepcion_iibb_san_luis_sufrida","Percepciones IIBB San Luis Sufrida","Percepciones IIBB San Luis Sufrida","Percepciones IIBB San Luis Sufrida","purchase","","perception","0.0","1","False","False","tax_group_perception_iibb_san_luis","l10n_ar.perception_perception_iibb_san_luis_sufrida","","invoice","base","","0.0"
"","","","","","","","","","","","","","","refund","base","","0.0"
"","","","","","","","","","","","","","","invoice","tax","imp_ingresos_brutos_percepciones_sufridas_san_luis","100.0"
"","","","","","","","","","","","","","","refund","tax","imp_ingresos_brutos_percepciones_sufridas_san_luis","100.0"
"tax_percepcion_iibb_santa_fe_sufrida","Percepciones IIBB Santa Fe Sufrida","Percepciones IIBB Santa Fe Sufrida","Percepciones IIBB Santa Fe Sufrida","purchase","","perception","0.0","1","False","False","tax_group_perception_iibb_santa_fe","l10n_ar.perception_perception_iibb_santa_fe_sufrida","","invoice","base","","0.0"
"","","","","","","","","","","","","","","refund","base","","0.0"
"","","","","","","","","","","","","","","invoice","tax","imp_ingresos_brutos_percepciones_sufridas_santa_fe","100.0"
"","","","","","","","","","","","","","","refund","tax","imp_ingresos_brutos_percepciones_sufridas_santa_fe","100.0"
"tax_percepcion_iibb_cordoba_sufrida","Percepciones IIBB Córdoba Sufrida","Percepciones IIBB Córdoba Sufrida","Percepciones IIBB Córdoba Sufrida","purchase","","perception","0.0","1","False","False","tax_group_perception_iibb_cordoba","l10n_ar.perception_perception_iibb_cordoba_sufrida","","invoice","base","","0.0"
"","","","","","","","","","","","","","","refund","base","","0.0"
"","","","","","","","","","","","","","","invoice","tax","imp_ingresos_brutos_percepciones_sufridas_cordoba","100.0"
"","","","","","","","","","","","","","","refund","tax","imp_ingresos_brutos_percepciones_sufridas_cordoba","100.0"
"tax_percepcion_iibb_entre_rios_sufrida","Percepciones IIBB Entre Ríos Sufrida","Percepciones IIBB Entre Ríos Sufrida","Percepciones IIBB Entre Ríos Sufrida","purchase","","perception","0.0","1","False","False","tax_group_perception_iibb_entre_rios","l10n_ar.perception_perception_iibb_entre_rios_sufrida","","invoice","base","","0.0"
"","","","","","","","","","","","","","","refund","base","","0.0"
"","","","","","","","","","","","","","","invoice","tax","imp_ingresos_brutos_percepciones_sufridas_entre_rios","100.0"
"","","","","","","","","","","","","","","refund","tax","imp_ingresos_brutos_percepciones_sufridas_entre_rios","100.0"
"tax_percepcion_iibb_jujuy_sufrida","Percepciones IIBB Jujuy Sufrida","Percepciones IIBB Jujuy Sufrida","Percepciones IIBB Jujuy Sufrida","purchase","","perception","0.0","1","False","False","tax_group_perception_iibb_jujuy","l10n_ar.perception_perception_iibb_jujuy_sufrida","","invoice","base","","0.0"
"","","","","","","","","","","","","","","refund","base","","0.0"
"","","","","","","","","","","","","","","invoice","tax","imp_ingresos_brutos_percepciones_sufridas_jujuy","100.0"
"","","","","","","","","","","","","","","refund","tax","imp_ingresos_brutos_percepciones_sufridas_jujuy","100.0"
"tax_percepcion_iibb_salta_sufrida","Percepciones IIBB Salta Sufrida","Percepciones IIBB Salta Sufrida","Percepciones IIBB Salta Sufrida","purchase","","perception","0.0","1","False","False","tax_group_perception_iibb_salta","l10n_ar.perception_perception_iibb_salta_sufrida","","invoice","base","","0.0"
"","","","","","","","","","","","","","","refund","base","","0.0"
"","","","","","","","","","","","","","","invoice","tax","imp_ingresos_brutos_percepciones_sufridas_salta","100.0"
"","","","","","","","","","","","","","","refund","tax","imp_ingresos_brutos_percepciones_sufridas_salta","100.0"
"tax_percepcion_iibb_san_juan_sufrida","Percepciones IIBB San Juan Sufrida","Percepciones IIBB San Juan Sufrida","Percepciones IIBB San Juan Sufrida","purchase","","perception","0.0","1","False","False","tax_group_perception_iibb_san_juan","l10n_ar.perception_perception_iibb_san_juan_sufrida","","invoice","base","","0.0"
"","","","","","","","","","","","","","","refund","base","","0.0"
"","","","","","","","","","","","","","","invoice","tax","imp_ingresos_brutos_percepciones_sufridas_san_juan","100.0"
"","","","","","","","","","","","","","","refund","tax","imp_ingresos_brutos_percepciones_sufridas_san_juan","100.0"
"tax_percepcion_iibb_corrientes_sufrida","Percepciones IIBB Corrientes Sufrida","Percepciones IIBB Corrientes Sufrida","Percepciones IIBB Corrientes Sufrida","purchase","","perception","0.0","1","False","False","tax_group_perception_iibb_corrientes","l10n_ar.perception_perception_iibb_corrientes_sufrida","","invoice","base","","0.0"
"","","","","","","","","","","","","","","refund","base","","0.0"
"","","","","","","","","","","","","","","invoice","tax","imp_ingresos_brutos_percepciones_sufridas_corrientes","100.0"
"","","","","","","","","","","","","","","refund","tax","imp_ingresos_brutos_percepciones_sufridas_corrientes","100.0"
"tax_percepcion_iibb_tierra_del_fuego_sufrida","Percepciones IIBB Tierra del Fuego Sufrida","Percepciones IIBB Tierra del Fuego Sufrida","Percepciones IIBB Tierra del Fuego Sufrida","purchase","","perception","0.0","1","False","False","tax_group_perception_iibb_tierra_del_fuego","l10n_ar.perception_perception_iibb_tierra_del_fuego_sufrida","","invoice","base","","0.0"
"","","","","","","","","","","","","","","refund","base","","0.0"
"","","","","","","","","","","","","","","invoice","tax","imp_ingresos_brutos_percepciones_sufridas_tierra_del_fuego","100.0"
"","","","","","","","","","","","","","","refund","tax","imp_ingresos_brutos_percepciones_sufridas_tierra_del_fuego","100.0"
"tax_percepcion_iibb_formosa_sufrida","Percepciones IIBB Formosa Sufrida","Percepciones IIBB Formosa Sufrida","Percepciones IIBB Formosa Sufrida","purchase","","perception","0.0","1","False","False","tax_group_perception_iibb_formosa","l10n_ar.perception_perception_iibb_formosa_sufrida","","invoice","base","","0.0"
"","","","","","","","","","","","","","","refund","base","","0.0"
"","","","","","","","","","","","","","","invoice","tax","imp_ingresos_brutos_percepciones_sufridas_formosa","100.0"
"","","","","","","","","","","","","","","refund","tax","imp_ingresos_brutos_percepciones_sufridas_formosa","100.0"
"tax_retencion_iva_sufrida","Retención IVA Sufrida","Retención IVA Sufrida","Retención IVA Sufrida","sale","","retention","0.0","1","False","False","tax_group_retention_vat","","l10n_ar.retention_retention_iva_sufrida","invoice","base","","100.0"
"","","","","","","","","","","","","","","refund","base","","100.0"
"","","","","","","","","","","","","","","invoice","tax","iva_retenciones_sufridas","100.0"
"","","","","","","","","","","","","","","refund","tax","iva_retenciones_sufridas","100.0"
"tax_retencion_iva_efectuada","Retención IVA Efectuada","Retención IVA Efectuada","Retención IVA Efectuada","purchase","","retention","0.0","1","False","False","tax_group_retention_vat","","l10n_ar.retention_retention_iva_efectuada","invoice","base","","100.0"
"","","","","","","","","","","","","","","refund","base","","100.0"
"","","","","","","","","","","","","","","invoice","tax","retenciones_a_depositar_iva","100.0"
"","","","","","","","","","","","","","","refund","tax","retenciones_a_depositar_iva","100.0"
"tax_retencion_iibb_caba_sufrida","Retención IIBB CABA Sufrida","Retención IIBB CABA Sufrida","Retención IIBB CABA Sufrida","sale","","retention","0.0","1","False","False","tax_group_retention_iibb_caba","","l10n_ar.retention_retention_iibb_caba_sufrida","invoice","base","","100.0"
"","","","","","","","","","","","","","","refund","base","","100.0"
"","","","","","","","","","","","","","","invoice","tax","imp_ingresos_brutos_retenciones_sufridas_caba","100.0"
"","","","","","","","","","","","","","","refund","tax","imp_ingresos_brutos_retenciones_sufridas_caba","100.0"
"tax_retencion_iibb_caba_efectuada","Retención IIBB CABA Efectuada","Retención IIBB CABA Efectuada","Retención IIBB CABA Efectuada","purchase","","retention","0.0","1","False","False","tax_group_retention_iibb_caba","","l10n_ar.retention_retention_iibb_caba_efectuada","invoice","base","","100.0"
"","","","","","","","","","","","","","","refund","base","","100.0"
"","","","","","","","","","","","","","","invoice","tax","retenciones_a_depositar_imp_ingresos_brutos_caba","100.0"
"","","","","","","","","","","","","","","refund","tax","retenciones_a_depositar_imp_ingresos_brutos_caba","100.0"
"tax_retencion_iibb_pba_sufrida","Retención IIBB PBA Sufrida","Retención IIBB PBA Sufrida","Retención IIBB PBA Sufrida","sale","","retention","0.0","1","False","False","tax_group_retention_iibb_pba","","l10n_ar.retention_retention_iibb_pba_sufrida","invoice","base","","100.0"
"","","","","","","","","","","","","","","refund","base","","100.0"
"","","","","","","","","","","","","","","invoice","tax","imp_ingresos_brutos_retenciones_sufridas_pcia_ba","100.0"
"","","","","","","","","","","","","","","refund","tax","imp_ingresos_brutos_retenciones_sufridas_pcia_ba","100.0"
